title,date,url
"Keracunan MBG Berulang, Komisi V DPRD Jabar Sarankan Hal ini",Date not found,https://republika.co.id/berita//t4bpwx512/keracunan-mbg-berulang-komisi-v-dprd-jabar-sarankan-hal-ini
President Prabowo Commits to Perfecting MBG Program,Date not found,https://republika.co.id/berita//t4bivp415/president-prabowo-commits-to-perfecting-mbg-program
Prabowo Puji Kepala BGN Kembalikan Anggaran MBG Rp70 Triliun,Date not found,https://republika.co.id/berita//t4bhlz423/prabowo-puji-kepala-bgn-kembalikan-anggaran-mbg-rp70-triliun
Presiden Prabowo Komitmen Sempurnakan Program MBG,Date not found,https://republika.co.id/berita//t4bf1r484/presiden-prabowo-komitmen-sempurnakan-program-mbg
Dinkes Ngawi Ungkap Dua Menu Ini Diduga Jadi Penyebab Keracunan MBG Siswa SMKN 1,Date not found,https://republika.co.id/berita//t4a2rf409/dinkes-ngawi-ungkap-dua-menu-ini-diduga-jadi-penyebab-keracunan-mbg-siswa-smkn-1
Cerita Siswa SMAN 1 Yogyakarta Trauma Usai Keracunan Massal MBG,Date not found,https://republika.co.id/berita//t49qz1282/cerita-siswa-sman-1-yogyakarta-trauma-usai-keracunan-massal-mbg
Guru SMAN 2 Karanganyar Gunakan Aplikasi untuk Deteksi Kelayakan MBG,Date not found,https://republika.co.id/berita//t49mb7375/guru-sman-2-karanganyar-gunakan-aplikasi-untuk-deteksi-kelayakan-mbg
"MBG Dinilai Program Penting untuk Perkuat Gizi Anak Bangsa, Bukan Sekadar Bisnis",Date not found,https://republika.co.id/berita//t48ew6320/mbg-dinilai-program-penting-untuk-perkuat-gizi-anak-bangsa-bukan-sekadar-bisnis
"Kasus Keracunan MBG Kembali Terjadi, 426 Siswa SMAN 1 Yogyakarta Jadi Korban",Date not found,https://republika.co.id/berita//t47vvo291/kasus-keracunan-mbg-kembali-terjadi-426-siswa-sman-1-yogyakarta-jadi-korban
"Keracunan MBG yang Tumbangkan Ratusan Siswa di Bandung Barat Mereda, Jeje: Tersisa 50 Siswa",Date not found,https://republika.co.id/berita//t47qb7512/keracunan-mbg-yang-tumbangkan-ratusan-siswa-di-bandung-barat-mereda-jeje-tersisa-50-siswa
Pemkab Bandung Barat Bakal Klaim Biaya Pengobatan Keracunan Massal MBG ke BGN,Date not found,https://republika.co.id/berita//t47jvd512/pemkab-bandung-barat-bakal-klaim-biaya-pengobatan-keracunan-massal-mbg-ke-bgn
INDEF Soroti Adopsi Prinsip Halal dalam Program MBG dan Kopdes Merah Putih,Date not found,https://republika.co.id/berita//t47gs3490/indef-soroti-adopsi-prinsip-halal-dalam-program-mbg-dan-kopdes-merah-putih
"Kasus Baru Dugaan Keracunan MBG Muncul Kembali di Bandung Barat, Dinkes: Gejala Klinisnya Sama",Date not found,https://republika.co.id/berita//t46h44512/kasus-baru-dugaan-keracunan-mbg-muncul-kembali-di-bandung-barat-dinkes-gejala-klinisnya-sama
